Fecha,Resultado,Federal,U de G,Privado,Rapidas,
19/08/2020,Sospechosos,"3,532",231,Na,Na,
20/08/2020,Confirmados,"17,587","7,657","11,834","6,413",
20/08/2020,Descartados,"27,718","21,359","25,029","31,213",
20/08/2020,Sospechosos,"3,050",207,Na,Na,
21/08/2020,Confirmados,"17,710","7,842","11,981","6,708",
21/08/2020,Descartados,"27,871","21,644","25,320","31,701",
21/08/2020,Sospechosos,"3,126",100,Na,Na,
22/08/2020,Confirmados,"18,115","7,995","12,160","6,728",
22/08/2020,Descartados,"28,266","21,845","25,783","31,801",
22/08/2020,Sospechosos,"2,840",120,Na,Na,
23/08/2020,Confirmados,"18,355","8,040","12,377","6,864",
23/08/2020,Descartados,"28,399","21,968","26,178","32,242",
23/08/2020,Sospechosos,"2,661",70,Na,Na,
24/08/2020,Confirmados,"18,547","8,051","12,755","7,045",
24/08/2020,Descartados,"28,481","22,023","27,196","32,572",
24/08/2020,Sospechosos,"2,617",69,Na,Na,
25/08/2020,Confirmados,"18,849","8,200","12,986","7,145",
25/08/2020,Descartados,"28,697","22,230","27,769","32,819",
25/08/2020,Sospechosos,"2,692",89,Na,Na,
26/08/2020,Confirmados,"19,033","8,335","13,259","7,313",
26/08/2020,Descartados,"28,901","22,490","28,324","33,359",
26/08/2020,Sospechosos,"2,809",75,Na,Na,
27/08/2020,Confirmados,"19,231","8,407","13,468","7,562",
27/08/2020,Descartados,"29,113","22,738","28,952","33,846",
27/08/2020,Sospechosos,"2,991",114,Na,Na,
28/08/2020,Confirmados,"19,567","8,544","13,567","7,714",
28/08/2020,Descartados,"29,498","23,003","29,368","34,230",
28/08/2020,Sospechosos,"2,829",92,Na,Na,
29/08/2020,Confirmados,"19,907","8,715","13,787","7,766",
29/08/2020,Descartados,"29,816","23,218","29,896","34,337",
29/08/2020,Sospechosos,"2,705",78,Na,Na,
30/08/2020,Confirmados,"20,131","8,761","14,040","7,816",
30/08/2020,Descartados,"29,978","23,285","30,333","34,440",
30/08/2020,Sospechosos,"2,515",79,Na,Na,
31/08/2020,Confirmados,"20,324","8,766","14,430","7,946",
31/08/2020,Descartados,"30,112","23,320","31,175","34,777",
31/08/2020,Sospechosos,"2,401",79,Na,Na,
01/09/2020,Confirmados,"20,595","8,927","14,526","8,046",
01/09/2020,Descartados,"30,322","23,568","31,489","35,037",
01/09/2020,Sospechosos,"2,538",71,Na,Na,
02/09/2020,Confirmados,"20,794","9,029","14,741","8,180",
02/09/2020,Descartados,"30,541","23,851","31,870","35,427",
02/09/2020,Sospechosos,"2,703",85,Na,Na,
03/09/2020,Confirmados,"21,049","9,165","15,035","8,240",
03/09/2020,Descartados,"30,828","24,162","32,555","35,665",
03/09/2020,Sospechosos,"2,741",86,Na,Na,
04/09/2020,Confirmados,"21,441","9,264","15,165","8,311",
04/09/2020,Descartados,"31,159","24,406","32,984","35,938",
04/09/2020,Sospechosos,"2,541",76,Na,Na,
05/09/2020,Confirmados,"21,629","9,380","15,539","8,372",
05/09/2020,Descartados,"31,388","24,633","33,696","36,081",
05/09/2020,Sospechosos,"2,576",106,Na,Na,
06/09/2020,Confirmados,"21,805","9,439","15,667","8,457",
06/09/2020,Descartados,"31,667","24,654","33,847","36,176",
06/09/2020,Sospechosos,"2,402",138,Na,Na,
07/09/2020,Confirmados,"21,906","9,446","16,130","8,511",
07/09/2020,Descartados,"31,717","24,775","34,907","36,354",
07/09/2020,Sospechosos,"2,419",82,Na,Na,
08/09/2020,Confirmados,"22,121","9,557","16,313","8,640",
08/09/2020,Descartados,"31,964","24,926","35,487","36,666",
08/09/2020,Sospechosos,"2,531",210,Na,Na,
09/09/2020,Confirmados,"22,369","9,666","16,536","8,738",
09/09/2020,Descartados,"32,145","25,199","35,965","36,978",
09/09/2020,Sospechosos,"2,666",199,Na,Na,
10/09/2020,Confirmados,"22,589","9,789","16,800","8,838",
10/09/2020,Descartados,"32,403","25,346","36,554","37,269",
